SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
344.5,34186.33,1048.9084,104.96708
345.0,34235.945,1073.7693,152.56992
345.5,34285.562,1045.0475,134.24911
346.0,34335.18,1030.3651,147.7858
346.5,34384.797,1138.6792,227.94824
347.0,34434.414,1097.8662,208.52228
347.5,34484.035,1066.4166,186.02158
348.0,34533.65,1095.1469,173.75728
348.5,34583.266,1119.0284,143.8078
349.0,34632.887,1134.707,163.44247
349.5,34682.5,1073.8708,111.42258
350.0,34732.117,1105.0691,192.49043
350.5,34781.74,1103.8285,199.5353
351.0,34831.35,1081.812,183.81
351.5,34880.97,1080.1858,194.26605
352.0,34930.586,1158.5226,165.49913
352.5,34980.207,1056.3915,63.63091
353.0,35029.82,1093.2662,74.274376
353.5,35079.438,1160.8717,76.29626
354.0,35129.06,1153.2847,50.314907
354.5,35178.67,1175.1177,42.775833
355.0,35228.29,1112.7958,237.6692
355.5,35277.91,1050.9766,341.76672
356.0,35327.527,1059.7759,159.55536
356.5,35377.14,1084.0381,84.49798
357.0,35426.76,1079.7472,95.37179
357.5,35476.38,1061.4541,105.66895
358.0,35525.992,1048.4756,119.2637
